code_name,Water color
units,Extended Forel-Ule Scale
01,PERCENT YELLOW 0  FOREL-ULE SCALE I
02,PERCENT YELLOW 2  FOREL-ULE SCALE II
03,PERCENT YELLOW 5  FOREL-ULE SCALE III
04,PERCENT YELLOW 9  FOREL-ULE SCALE IV
05,PERCENT YELLOW 14  FOREL-ULE SCALE V
06,PERCENT YELLOW 20  FOREL-ULE SCALE VI
07,PERCENT YELLOW 27  FOREL-ULE SCALE VII
08,PERCENT YELLOW 35  FOREL-ULE SCALE VIII
09,PERCENT YELLOW 44  FOREL-ULE SCALE IX
10,PERCENT YELLOW 54  FOREL-ULE SCALE X
11,PERCENT YELLOW 65  PERCENT BROWN 0  FOREL-ULE SCALE XI
12,PERCENT BROWN 2  FOREL-ULE SCALE XII
13,PERCENT BROWN 5  FOREL-ULE SCALE XIII
14,PERCENT BROWN 9  FOREL-ULE SCALE XIV
15,PERCENT BROWN 14  FOREL-ULE SCALE XV
16,PERCENT BROWN 20  FOREL-ULE SCALE XVI
17,PERCENT BROWN 27 FOREL-ULE SCALE XVII
18,PERCENT BROWN 35  FOREL-ULE SCALE XVIII
19,PERCENT BROWN 44  FOREL-ULE SCALE XIX
20,PERCENT BROWN 54  FOREL-ULE SCALE XX
21,PERCENT BROWN 65  FOREL-ULE SCALE XXI
31,GREEN
32,BLUE
33,GREY
34,RED
35,CHALKY
36,BROWN
37,LUMINESCENT
