Code table: s_26_weather_condition; Code source: WMO code 4501 (if <=0) or WMO code 4677 (if >0),
Code,Description
-9,Thunderstorm(s)
-8,Shower(s)
-7,"Snow, or rain and snow mixed"
-6,Rain
-5,Drizzle
-4,"Fog, thick dust or haze"
-3,"Sandstorm, dust storm, or blowing snow"
-2,Continuous layer(s) of cloud(s)
-1,Partly cloudy (scattered or broken)
0,Clear (no cloud at any level)
1,Clouds generally dissolving of becoming less developed-char. Change of state of sky during past hour.
2,State of sky on the whole unchanged-char. Change of the state of sky during the past hour
3,Clouds generally forming or developing-char. Change of the state of sky during the past hour
4,"Visibility reduced by smoke, e.g. Veldt of forest fires, industrial smoke or volcanic ashes"
5,Haze
6,"Widespread dust in suspension in the air, raised by wind at or near the station at time of observation"
7,"Dust or sand raised by wind at or near the station at the time of observation, but no well developed dust whirl(s) or sand whirl(s), and no dust storm or sandstorm seen"
8,"Well develop. Dust whirl(s) or sand whirl(s) seen at or near station during the preceding hour or at the time of observation, but no dust storm or sandstorm"
9,"Dust storm or sandstorm within sight at the time of observation, or at station during preceding hour"
10,Mist
11,"Patches of shallow fog or ice fog at the station, whether on land or sea, not deeper than about 2 meters on land or 10 meters at sea 12 -- more or less continuous shallow fog or ice fog at the station, whether on land or sea, not deeper than about 2 m on land or 10 m at sea"
13,"Lightning visible, no thunder heard"
14,"Precipitation within sight, not reaching the ground or the surface of the sea"
15,"Precipitation within sight, reaching the ground or the surface of the sea, but distant(i.e. Estimated to be more than 5 km) from the station"
16,"Precipitation within sight, reaching ground or surface of the sea, near to, but not at the station"
17,"Thunderstorm, but no precipitation at the time of observation"
18,Squalls at or within sight of the station during the preceding hour or at time of observation
19,Funnel cloud(s) at or within sight of station during preceding hour or at the time of observation
20,Drizzle (not freezing) or snow grains - not falling as shower(s)
21,Rain (not freezing) - not falling as shower(s)
22,Snow - not falling as shower(s)
23,"Rain and snow or ice pellets, type (a) - not falling as shower(s)"
24,Freezing drizzle or freezing rain - not falling as shower(s)
25,Shower(s) of rain - not falling as shower(s)
26,"Shower(s) of snow, or of rain and snow - not falling as shower(s)"
27,"Shower(s) of hail, or of rain and hail - not falling as shower(s)"
28,Fog or ice fog - not falling as shower(s)
29,Thunderstorm (with or without precipitation)
30,Slight or moderate dust storm or sandstorm-has decreased during the preceding hour
31,Slight or moderate dust storm or sandstorm-no appreciable change during the preceding hour
32,Slight or moderate dust storm or sandstorm-has begun or has increased during the preceding hour
33,Severe dust storm or sandstorm-has decreased during the preceding hour
34,Severe dust storm or sandstorm-no appreciable change during the preceding hour
35,Severe dust storm or sandstorm-has begun or has increased during the preceding hour
36,Slight or moderate blowing snow-generally low (below eye level)
37,Heavy drifting snow-generally low (below eye level)
38,Slight or moderate blowing snow-generally high (above eye level)
39,Heavy blowing snow-generally high (above eye level)
40,"Fog or ice fog at a distance at time of observation, but not at the station during the preceding hour, the fog or ice fog extending to a level above that of the observer"
41,Fog or ice fog in patches
42,"Fog or ice fog, sky visible-has become thinner during the preceding hour"
43,"Fog or ice fog, sky invisible-has become thinner during the preceding hour"
44,"Fog or ice fog, sky visible-no appreciable change during the preceding hour"
45,"Fog or ice fog, sky invisible-no appreciable change during the preceding hour"
46,"Fog or ice fog, sky visible-has begun or has become thicker during the preceding hour"
47,"Fog or ice fog, sky invisible-has begun or has become thicker during the preceding hour"
48,"Fog, depositing rime, sky visible"
49,"Fog, depositing rime, sky invisible"
50,"Drizzle, not freezing, intermittent-slight at time of observation"
