code_name,Project
units,NODC code
567, ORSTOM/UR1J - UNDERWATER MOUNTS
549,(ECOMARGE) ECOSYSTEMES DE MARGE CONTINENTALE 
541,(MASTII-MTPI-GEODYME) MASTII-MTPI-GEOCHEMISTRY AND DYNAMICS OF THE MEDITERRANEAN
632,A LINE
185,ABYSSAL BOUNDARY CURRENT STUDIES
507,ACCE (ATLANTIC CIRCULATION AND CLIMATE EXPERIMENT)
377,ACID RAIN
387,AGULHAS RETROFLECTION CRUISE (ARC)
171,AJAX
441,ALBATROSS (ANTARCTIC LARGE-SCALE BOX ANALYSIS & THE ROLE OF THE SCOTIA SEA)
227,AMASSEDS(AMAZON SHELF SEDIMENT STUDY)
206,AMERIEZ (ANTARCTIC MARINE ECOSYSTEM RESEARCH AT THE ICE EDGE ZONE)
24,AMOS
373,ANATOMY OF GULF STREAM MEANDERS
607,ANSLOPE (CROSS-SLOPE EXCHANGES AT THE ANTARCTIC SLOPE FRONT) 
414,ANTARCTIC PACK ICE SEALS (APIS) (L-DEO OF COLUMBIA UNIVERSITY)
124,ANTILLES CURRENT
169,APEX(ARTIC POLYNYA EXPERIMENT)
568,APPROCHE INTEGREE GOLFE DE GASCOGNE
379,ARABESQUE
449,ARCHES (ABRUPT CLIMATE CHANGES STUDIES PROGRAM)
393,ARCTIC INTERNAL WAVE EXPERIMENT (AIWEX)
434,ARCTIC OCEAN SECTION (Canada/U.S. joint expedition)
505,ARGN (ARGO-GREENLAND PROJECT)
518,ARGO AUSTRALIA
516,ARGO MARITIUS
522,ARGO MEXICO
515,ARGO UK
318,ARKTIS
388,ARLINDO CIRCULATION
389,ARLINDO MIXING
429,ATLANTIC CLIMATE CHANGE PROGRAM (ACCP/NOAA)
619,ATLANTIC MERIDIONAL TRANSECT PROGRAM (AMT)
371,AUTONOMOUS PINNIPED ENVIRONMENTAL SAMPLERS (APES)
608,AZOV-BLACK SEA SCIENTIFIC FISHERY EXPEDITION (1924-1927)
587,BALTIMORE HARBOR STUDY
426,BERING SEA CIRCULATION
304,BEST (BENGUELA SOURCE & TRANSPORT)
241,BIOMASS (Biological Investigations of Marine Antarctic Systems and Stocks)
109,BLM/S.W. FLORIDA SHELF
114,BLM/TOPOGRAPHIC FEATURES
353,BLMP/BMP
321,BOFS (BIOGEOCHEMICAL OCEAN FLUX STUDY)
2,BOMEX
110,BORAX
543,BOUSSOLE (BUOY FOR THE ACQUISITION OF A LONG-TERM OPTICAL SERIES)
93,BRINE DISPOSAL
297,BWASP (BOW HEAD WHALE AERIAL SURVEY PROJECT) 
180,C-SALT (CARIBBEAN SHEETS AND LAYER TRANSECT) 
33,CALCOFI  (CALifornia Cooperative Oceanice Fisheries Investigation)
521,CANADIAN ARGO
603,CASPIAN ENVIRONMENT PROGRAMME (CEP)
102,CCOP/SOPA
312,CEAREX  (Coordinated Eastern ARctic EXperiment)
202,CGS (CLIMATE AND GLOBAL CHANGE)
523,CHILEAN ARGO 
517,CHINA ARGO PROJECT
37,CICAR
497,CICIO (CIRCULATION AND CLIMATE OF THE INDIAN OCEAN)
60,CIM
325,CINECA (COOPERATIVE INVESTIGATIONS OF NORTHERN PART OF EASTERN CENTRAL ATLANTIC)
425,CIRCUMPOLAR DEEP WATER AND THE WEST ANTARCTIC ICE SHEET
499,CLIMAT INDIEN RECHERCHE PAR LA MODELISATION NUMERIQUE ET L'EXPERIMENTATION
485,CLIMATE VARIABILITY AND PREDICTABILITY (CLIVAR)
545,CLIVAR-ECLAT 
501,CMGP (COASTAL AND MARINE GEOLOGY PROGRAM)
226,COARE (COUPLED OCEAN-ATMOSPHERE RESPONSE EXPERIMENT
467,COASTAL INTENSIVE SITE NETWORK (CISNET);LONG-TERM KANEOHE BAY MONITORING PROJECT
119,COASTAL OCEAN DYNAMICS EXPER 
255,COASTAL TRANSITION ZONE PROGRAM (CTZ)
510,CONGAS (CONTINENTAL GASCOGNE)
400,COOPERATIVE OCEAN OBSERVING EXPERIMENT (COOE)
547,CROHYDRO-HA4 
460,CRUCEROS DE INVESTIGACION CIENTIFICA MARINA (CIMAR)
31,CSK
511,DAP (DATA ASSIMILATION PROJECT)
29,DEEP FREEZE
123,DEEP-SEA DRILLING
602,DELAWARE AND NEW JERSEY COASTAL CURRENT STUDY
589,DELAWARE CIRCULATION AND DYE EXPERIMENT (DECADE)
100,DOE SOUTH ATLANTIC BIGHT
80,DOMES
430,DOVETAIL
416,EAST PACIFIC INVESTIGATION OF CLIMATE PROCESS COUPLED OCEAN-ATMOSPHERE SYSTEM
39,EASTROLANT
3,EASTROPAC (1967-1968)
273,EASTROPIC (EASTERN TROPICAL PACIFIC 1955)
548,ECOLOGIE DES PETITS PELAGIQUES DU GOLFE DE GASCOGNE
616,ECOSYSTEM MODELING AS A MANAGEMENT TOOL FOR THE BLACK SEA (TU-BLACK SEA)
529,EDDIES AND GYRES PATHS TRACKING (EGYPT)
74,EGMEX
96,EPA/BUCCANEER OIL FIELD
106,EPOCS (EQUATORIAL PACIFIC OCEAN CLIMATE STUDIES) (PMEL)
415,EQUATORIAL PACIFIC AIR-SEA CO2 EXCHANGE EXPERIMENT (GASEXII) 
45,ESCAROSA I
550,ETAMBOT
496,ETOBB (BEAUTEMPS BEAUPRE ETO (TECHNICAL & OPERATIONAL EVALUATION) CRUISE)
316,EUBEX
335,EUMELI
552,EUROSTRATAFORM
534,EUROSTRATAFORMONAL D'ECOLOGI 
101,FGGE
99,FGGE/INDIAN OCEAN
329,FIBEX
28,FLOOD
495,FLOSTRAL (FLOTTEURS DE L'OCEAN AUSTRAL)
174,FOCI(FISHERIES-OCEANOGRAPHY COOPERATIVE INVESTIGATIONS)
314,FRAM-1
315,FRAM-III
486,FRESHWATER SWITCHYARD OF THE ARCTIC OCEAN
509,FRONTALIS
453,FRUELA
73,GATE (G.A.R.P. Atlantic Tropical Experiment) 
526,GENERAL FISHERIES RESEARCH (YugNIRO USSR)
233,GLOBAL CHANGE RESEARCH PROGRAM (GCRP)
374,GLOBEC/OREGON PROGRAM (AKA GLOBEC NORTH EAST PACIFIC PROGRAM)
261,GOALS (GLOBAL OCEAN ATMOSPHERE LAND SYSTEM)
350,GOMEX (GULF OF MEXICO EXPERIMENT)
498,GOODHOPE (MERIDIAN AT THE CAPE OF GOOD HOPE) 
444,GSP (GREENLAND SEA PROJECT)
223,GTSPP (GLOBAL TEMPERATURE-SALINITY PROFILE PROGRAM)
5,GULF OF MEXICO ESTUARINE INVENTORY (GMEI)
305,GULFCET II (DISTRIBUTION/ABUNDANCE OF MARINE MAMMALS IN NORTHERN GULF OF MEXICO)
493,GYROSCOPE (THE GYROSCOPE OCEAN OBSERVING SYSTEM)
500,HERACLES
435,IAPP (International Arctic Polynya Programme)
236,ICE STATION WEDDELL-1
420,ICITA - EQUALANT I
30,ICNAF
50,IDOE
66,IDOE/CEPEX
48,IDOE/CICAR
71,IDOE/CUEA
59,IDOE/GEOSECS 
85,IDOE/ISOS/FDRAKE
61,IDOE/MODE
78,IDOE/NORPAX
177,IDOE/NORPAX/HAWAII-TAHITI SHUTTLE
87,IDOE/POLYMODE
47,IFYGL
25,IIOE
443,IMECOCAL (INVESTIGACIONES MEXICANAS DE LA CORRIENTE DE CALIFORNIA)
89,INDEX
519,INDIAN ARGO
336,INDIGO (FRENCH)
342,INPOC (FRENCH)
49,INTEGRATED GLOBAL OCEAN SERVICE SYSTEM (IGOSS)
592,INTERNATIONAL BOTTOM TRAWL SURVEY (IBTS)
