code_name,Digitization interval
units,NODC code 0613
01,FIXED INTERVAL LE 0.1 METER AND LE 0.1 DEG C
02,FIXED INTERVAL GT 1 METER BUT LE 3 METERS AND LE 0. 1 DEG C
03,FIXED INTERVAL GT 3 METERS BUT LE 6 METERS AND LE 0 .1 DEG C
04,FIXED INTERVAL GT 6 METERS AND LE 0.1 DEG C
11,FIXED INTERVAL LE 1 METER AND LE 0.2 DEG C
12,FIXED INTERVAL GT 1 METER BUT LE 3 METERS AND LE 0. 2 DEG C
13,FIXED INTERVAL > 3 METERS AND <= 6 METERS AND <= 0.2DEG C
31,VARIABLE INTERVAL - MANUALLY DETERMINED
32,VARIABLE INTERVAL - STATISTICALLY DETERMINED
33,VARIABLE INTERVAL - PHYSICALLY DETERMINED
34,FXED INTERVAL GT 3 METERS BUT LT 6 METERS AND LE 0.2  DEG C
