code_name,Platform
units,OCL code
185,06AB,ALSTER EXPRESS
186,06AC,WEGA
187,06AD,ANTON DOHRN (R/V; call sign DBFO; service date 03/05/1955 - 07/26/1972)
189,06AF,FREYMANN; A. 
190,06AG,AVON
191,06AH,LEONHARDT; A.
192,06AI,MEERKATZE II 
194,06AK,ALKOR (R/V; call sign DBIG; service date 03/02/1966 - 04/19/1990)
195,06AL,ALTAIR
197,06AN,ARKONA BECKEN
199,06AQ,POLARSTERN
201,06AS,JEBSEN SOUTHLAND
202,06AU,AUGUSTA
205,06AY,COLUMBUS OREGON (DHJW) EX. ACT 9-90
206,06AZ,VALDIVIA
207,06A2,ARIANA (DIDA)
208,06A3,ATAIR (R/V; call sign DBBA; service date 05/04/1962 - 04/29/1987)
213,06BE,SONNE
214,06BF,NORDDEICH
215,06BG,BOERGEN (also BORGEN)
221,06BM,BORNHOLM GATT
223,06BO,BORKUMRIFF
225,06BQ,SAXON STAR
227,06BS,BUISE
230,06BV,BAVARIA
233,06BY,BAYERNSTEIN
234,06BZ,UBENA
235,06CA,MOSEL
237,06CC,COLUMBUS CANTERBURY
238,06CD,COLUMBUS CANADA (FOMERLY AVON)
239,06CE,ICEBIRD (DPIB)
240,06CL,COLUMBUS LOUISIANA
241,06CO,CORDILLERA
244,06CT,COLUMBUS VIRGINIA
245,06CV,COLUMBUS VICTORIA
246,06CW,COLUMBUS WELLINGTON
247,06CX,ACT 10
248,06DA,ANTON DOHRN II (R/V; call sign DBFR; service date 10/17/1972 - 07/30/1986)
249,06DE,DEUTSCHLAND
262,06EL,ELBE
263,06EM,EMS
270,06E3,ELBE EXPRESS 
271,06FE,FEHMARNBELT
272,06FI,FRITHJOF NANSEN
273,06FK,FRANKFURT
275,06FM,MORAY FIRTH
277,06GA,GAUSS
287,06GK,DEVON
298,06HB,BAUMGARTEN; H.
301,06HF,HEINCKE; FRIEDRICH
305,06HP,HELICOPTER
306,06HR,HELGOLAND REEDE F/S
308,06HT,HAITHABU
309,06HU,HUNTE
310,06HW,WALTHER HERWIG (service date: 1962 to July/August 1972)
312,06JF,FOCK; JULIUS 
313,06JH,WILHEHNS; J. H.
314,06JW,WELLEM; JAN
316,06KB,KOELN ATLANTIC (DAKE)
317,06KF,KAP FARVEL
319,06KM,KOMET
320,06KO,KOLMAR
321,06KW,WALTER KOERTE (DBCE) (04/27/1957 - 01/25/1984)
324,06LB,LILLOOET
327,06LT,LITTORINA
329,06MB,MONTE ROSA
330,06ME,METEOR (PRE-7/64)
332,06MK,MAKRELE
333,06MO,MOWE
334,06MR,MEERKATZE
335,06MT,METEOR (from 7/1964 to 03/14/1986)
336,06MX,MOSEL EXPRESS
337,06ND,NORDSEE (DA9100)
338,06NE,NEPTUN
341,06OS,OSTE
342,06PA,PANTHER
343,06PB,PAUL BENEKE
