ITIS TSN,PGC code,Rank,Taxonomic Name -[ Author or comments ]-
165548,5000000,species,Ablennes hians   -[  (Valenciennes; 1843) ]-
82406,4267550,genus,Abralia   -[  Gray;1849 ]-
82411,4267550,species,Abralia armata   -[  (Quoy & Gaimard;1832) ]-
556140,4267500,species,Abraliopsis lineata 
170046,5000000,species,Abudefduf saxatilis   -[  (Linnaeus) ]-
51365,4032000,genus,Abyla 
51369,4032000,genus,Abylopsis 
51370,4032000,species,Abylopsis tetragona   -[  (Otto; 1823) ]-
46107,2270000,class,Acantharia 
2187,2100000,genus,Acanthoica 
2190,2100000,species,Acanthoica quattrospina 
46111,2270000,genus,Acanthometron 
550459,2270000,species,Acanthometron pellucida 
89857,4214000,genus,Acanthomysis 
89861,4214000,species,Acanthomysis dybowskii 
89863,4214000,species,Acanthomysis macropsis 
89865,4214000,species,Acanthomysis nephrophthalma 
89867,4214000,species,Acanthomysis pseudomacropsis 
89871,4214000,species,Acanthomysis stelleri 
94491,4217025,species,Acanthostepheia behringiensis   -[  Lockington; 1877 ]-
94493,4217025,species,Acanthostepheia incarinata   -[  Gurjanova; 1929 ]-
46771,2080000,genus,Acanthostomella 
46772,2080000,species,Acanthostomella gracilis 
46773,2080000,species,Acanthostomella norvegica 
173245,5000000,species,Acanthostracion quadricornis 
172250,5000000,family,Acanthuridae 
733321,4192550,subclass,Acari 
86084,4212010,genus,Acartia   -[  Dana;1846 ]-
86095,4212010,species,Acartia bifilosa   -[  (Giesbrecht; 1881) ]-
550412,4212010,species,Acartia centrula 
86085,4212010,species,Acartia clausi   -[  Giesbrecht; 1889 ]-
86086,4212010,species,Acartia danae   -[  Giesbrecht; 1889 ]-
86096,4212010,species,Acartia discaudata   -[  (Giesbrecht; 1882) ]-
550413,4212010,species,Acartia erythraea 
550438,4212010,species,Acartia hamata 
86097,4212010,species,Acartia hudsonica   -[  Pinhey; 1926 ]-
86087,4212010,species,Acartia longiremis   -[  (Lilljeborg; 1853) ]-
86090,4212010,species,Acartia negligens   -[  Dana; 1849 ]-
550442,4212010,species,Acartia pacifica 
86092,4212010,species,Acartia spinata   -[  Esterley; 1911 ]-
550444,4212010,species,Acartia spinicauda 
86088,4212010,species,Acartia tonsa   -[  J.D. Dana; 1852 ]-
86089,4212010,species,Acartia tumida   -[  Willey; 1920 ]-
86083,4212010,family,Acartiidae   -[  Sars; 1903 ]-
95889,4219000,species,Acetes americanus   -[  Ortmann; 1893 ]-
3429,2160000,genus,Achnanthes   -[  Bory De St Vincent; 1922 ]-
3430,2160000,species,Achnanthes brevipes   -[  Agardh ]-
3435,2160000,species,Achnanthes longipes 
3436,2160000,species,Achnanthes taeniata 
85343,4212010,genus,Acrocalanus   -[  Giesbrecht; 1888 ]-
550414,4212010,species,Acrocalanus gracilis 
85344,4212010,species,Acrocalanus longicornis   -[  Giesbrecht; 1888 ]-
85345,4212010,species,Acrocalanus monachus   -[  Giesbrecht; 1888 ]-
6099,2280000,species,Actinastrum hantzschii   -[  Lagerheim; 1882 ]-
3417,2160000,genus,Actinella   -[  F. W. Lewis; 1863 ]-
52485,4038000,order,Actiniaria 
183972,2070000,species,Actiniscus pentasterias   -[  (Ehrenberg) Ehrenberg ]-
2655,2160000,genus,Actinocyclus   -[  Ehrenberg; 1837 ]-
610120,2160000,species,Actinocyclus actinochilus   -[  (Ehrenberg) Simonsen ]-
2659,2160000,species,Actinocyclus curvatulus 
2665,2160000,species,Actinocyclus ehrenbergii 
2657,2160000,species,Actinocyclus octonarius   -[  Ehrenberg; 1837 ]-
46118,2270000,species,Actinophrys sol   -[  Ehr. ]-
46080,2270000,superfamily,Actinopodea 
2618,2160000,genus,Actinoptychus 
2620,2160000,species,Actinoptychus senarius 
2621,2160000,species,Actinoptychus splendens 
2622,2160000,species,Actinoptychus undulatus 
10461,2070000,genus,Adenoides   -[  Balech; 1956 ]-
573325,2070000,species,Adenoides kofoidi   -[  (Herdman; 1922) Dodge; 1982 ]-
92439,4216000,species,Aegathoa oculata   -[  (Say; 1818) ]-
92484,4216000,family,Aegidae   -[  Leach; 1815 ]-
51145,4032000,genus,Aegina   -[  Eschscholtz; 1829 ]-
51146,4032000,species,Aegina rosea 
51144,4032000,family,Aeginidae 
51158,4032000,genus,Aeginopsis   -[  Brandt; 1835 ]-
51159,4032000,species,Aeginopsis laurentii   -[  Brandt; 1838 ]-
87292,4212030,genus,Aegisthus   -[  Giesbrecht; 1891 ]-
87294,4212030,species,Aegisthus mucronatus   -[  Giesbrecht; 1891 ]-
50623,4032000,genus,Aequorea   -[  Peron & Lesueur; 1809 ]-
50624,4032000,species,Aequorea aequorea   -[  (Forsskal; 1775) ]-
50634,4032000,species,Aequorea forskalea   -[  (Forsskal; 1775) ]-
85413,4212010,family,Aetideidae   -[  G.O. Sars; 1903 ]-
85414,4212010,genus,Aetideopsis   -[  Sars; 1903 ]-
85416,4212010,species,Aetideopsis multiserrata   -[  (Wolfenden; 1904) ]-
85417,4212010,species,Aetideopsis pacifica   -[  Esterly; 1911 ]-
85418,4212010,species,Aetideopsis rostrata   -[  G.O. Sars; 1903 ]-
85419,4212010,genus,Aetideus   -[  Brady; 1883 ]-
85423,4212010,species,Aetideus acutus   -[  Farran; 1929 ]-
85421,4212010,species,Aetideus armatus   -[  (Boeck; 1872) ]-
85424,4212010,species,Aetideus giesbrechti   -[  (Cleve; 1904) ]-
85422,4212010,species,Aetideus pacificus   -[  Brodsky; 1950 ]-
51383,4032000,species,Agalma elegans   -[  (M. Sars; 1846) ]-
51381,4032000,family,Agalmidae 
51093,4032000,genus,Aglantha   -[  Haeckel; 1879 ]-
51094,4032000,species,Aglantha digitalis   -[  (O. F. Mueller; 1776) ]-
51054,4032000,genus,Aglaura   -[  Peron & Lesueur; 1809 ]-
51055,4032000,species,Aglaura hemistoma   -[  Peron & Lesueur; 1809 ]-
607,1050000,species,Agmenellum thermale   -[  (Kutz.) ]-
159693,5000000,superclass,Agnatha 
167426,5000000,family,Agonidae 
158736,4320000,species,Aidanosagitta bedfordii   -[  (Doncaster; 1902) ]-
158738,4320000,species,Aidanosagitta crassa   -[  (Tokioka; 1938) ]-
331693,4320000,subspecies,Aidanosagitta crassa naikaiensis 
158733,4320000,species,Aidanosagitta neglecta   -[  (Aida; 1897) ]-
158746,4320000,species,Aidanosagitta oceania   -[  (Grey; 1930) ]-
158749,4320000,species,Aidanosagitta regularis   -[  (Aida; 1897) ]-
98102,4219000,family,Albuneidae   -[  Stimpson; 1858 ]-
222,1060000,genus,Alcaligenes 
65399,4225000,family,Alciopidae 
168601,5000000,species,Alectis crinitus   -[  (Mitchill) ]-
162523,5000000,family,Alepisauridae 
162524,5000000,genus,Alepisaurus   -[  Lowe; 1833 ]-
162303,5000000,family,Alepocephalidae 
183929,2070000,genus,Alexandrium   -[  Halim; 1960 ]-
573526,2070000,species,Alexandrium monilatum  -[  (Howell)F.J.R. Taylor; 1979 ]-
573527,2070000,species,Alexandrium ostenfeldii  -[  (Paulsen) Balech And Tangen; 1985 ]-
99171,4210040,genus,Alima 
96600,4219000,family,Alpheidae   -[  Rafinesque; 1815 ]-
86411,4212030,genus,Alteutha   -[  Baird; 1845 ]-
86413,4212030,species,Alteutha depressa   -[  Baird; 1845 ]-
206044,4212030,species,Alteutha interrupta   -[  (Goodsir; 1845) ]-
