code_name,Project
units,NODC code
185,ABYSSAL BOUNDARY CURRENT STUDIES
507,ACCE (ATLANTIC CIRCULATION AND CLIMATE EXPERIMENT)
377,ACID RAIN
387,AGULHAS RETROFLECTION CRUISE (ARC)
75,AIDJEX
171,AJAX
441,ALBATROSS (ANTARCTIC LARGE-SCALE BOX ANALYSIS & THE ROLE OF THE SCOTIA SEA)
227,AMASSEDS(AMAZON SHELF SEDIMENT STUDY)
206,AMERIEZ (ANTARCTIC MARINE ECOSYSTEM RESEARCH AT THE ICE EDGE ZONE)
24,AMOS
373,ANATOMY OF GULF STREAM MEANDERS
414,ANTARCTIC PACK ICE SEALS (APIS) (L-DEO OF COLUMBIA UNIVERSITY)
124,ANTILLES CURRENT
169,APEX(ARTIC POLYNYA EXPERIMENT)
379,ARABESQUE
449,ARCHES (ABRUPT CLIMATE CHANGES STUDIES PROGRAM)
393,ARCTIC INTERNAL WAVE EXPERIMENT (AIWEX)
434,ARCTIC OCEAN SECTION (Canada/U.S. joint expedition)
505,ARGN (ARGO-GREENLAND PROJECT)
437,ARGO (PROFILING FLOAT PROGRAM)
518,ARGO AUSTRALIA
516,ARGO MARITIUS
522,ARGO MEXICO
515,ARGO UK
318,ARKTIS
388,ARLINDO CIRCULATION
389,ARLINDO MIXING
10,ARSLOE
63,ATEX
429,ATLANTIC CLIMATE CHANGE PROGRAM (ACCP/NOAA)
371,AUTONOMOUS PINNIPED ENVIRONMENTAL SAMPLERS (APES)
409,AtlantNIRO Fisheries Research (USSR) 
360,BALMON
7,BARSTUR
426,BERING SEA CIRCULATION
246,BERPAC (BERING & PACIFIC RUSSIAN/US COOPERATIVE RESEARCH PROGRAM)
304,BEST (BENGUELA SOURCE & TRANSPORT)
363,BIOGEOCHEMICAL REACTIONS IN ESTUARIES (BRIE) 
241,BIOMASS (Biological Investigations of Marine Antarctic Systems and Stocks)
108,BLM/IXTOC
133,BLM/MMS OUTER CONTINENTAL SHELF BALTIMORE CANYON STUDY
184,BLM/OCS-SOUTHERN CALIFORNIA
109,BLM/S.W. FLORIDA SHELF
114,BLM/TOPOGRAPHIC FEATURES
353,BLMP/BMP
321,BOFS (BIOGEOCHEMICAL OCEAN FLUX STUDY)
2,BOMEX
110,BORAX
93,BRINE DISPOSAL
297,BWASP (BOW HEAD WHALE AERIAL SURVEY PROJECT) 
180,C-SALT (CARIBBEAN SHEETS AND LAYER TRANSECT) 
33,CALCOFI  (CALifornia Cooperative Oceanice Fisheries Investigation)
521,CANADIAN ARGO
311,CARIACO (CARBON RETENTION IN A COLORED OCEAN)
452,CARICOMP (CARIBBEAN COASTAL MARINE PRODUCTIVITY PROGRAM)
178,CARIPOL/MARPOLMON
102,CCOP/SOPA
431,CDIP (COASTAL DATA INFORMATION PROGRAM) - SCRIPPS
312,CEAREX  (Coordinated Eastern ARctic EXperiment)
202,CGS (CLIMATE AND GLOBAL CHANGE)
436,CHEMO II
69,CHESTER RIVER STUDY
523,CHILEAN ARGO 
517,CHINA ARGO PROJECT
37,CICAR
497,CICIO (CIRCULATION AND CLIMATE OF THE INDIAN OCEAN)
60,CIM
325,CINECA (COOPERATIVE INVESTIGATIONS OF NORTHERN PART OF EASTERN CENTRAL ATLANTIC)
425,CIRCUMPOLAR DEEP WATER AND THE WEST ANTARCTIC ICE SHEET
499,CLIMAT INDIEN RECHERCHE PAR LA MODELISATION NUMERIQUE ET L'EXPERIMENTATION
